Banco Itaú Chile;Banking Financial Services;Las Condes Region Metropolitana Chile;Banco Itaú Chile is a community financial institution that provides banking services;2023-01-03;78824765;1;PostIPO Debt;Public;CL;
Galgo;Financial Services FinTech;Santiago Region Metropolitana Chile;Galgo provides consumer secured loans and financial advice to underbanked people;2023-10-10;40000000;6;Venture  Series Unknown;Private;CL;Fen Ventures WIND Ventures Nazca Ventures Dalus Capital Kayyak Ventures
TIMining;Data Integration Software;Santiago Region Metropolitana Chile;TIMining is offers stateoftheart software for the mining industry from load and haul simulation to holographic technology;2023-10-13;10000000;3;Series B;Private;CL;Komatsu Kayyak Ventures Aurus ChileGlobal Ventures Alpha Future Funds
Teambit;B2B Information Technology Internet of Things SaaS;Santiago Region Metropolitana Chile;Teambit is a software company that offers platform to measure and manage the performance of engineering teams;2023-10-14;260000;1;PreSeed;Private;CL;Platanus
Winston;Artificial Intelligence (AI) EdTech Human Resources Information Technology Personal Development;Santiago Region Metropolitana Chile;Winston is an EdTech company that uses AI and technology to offer coaching services for organizational changes and individual development;2023-10-14;100000;1;Angel;Private;CL;Platanus
Valuelist;Asset Management Financial Services Stock Exchanges;Las Condes Region Metropolitana Chile;Valuelist specializes in investment mutual funds cryptocurrency bonding financial and pension planning services;2023-10-16;600000;1;PreSeed;Private;CL;Synapse XTL
licitaLAB;Machine Learning Software;Santiago Region Metropolitana Chile;licitaLAB simplifies the selling of products to the State by offering business identification tools app management and market information;2023-10-19;300000;2;PreSeed;Private;CL;Magical Nakama Ventures
Zapping TV;Broadcasting Media and Entertainment TV;Santiago Region Metropolitana Chile;Zapping TV is a live tv service in Latin America +80 live tv channels for $15/month;2023-10-24;5000000;2;Seed;Private;CL;Wayra Chile Ventures Mountain Partners
Colaboramed;Mobile Payments Payments;Santiago Region Metropolitana Chile;Colaboramed is a medical copayment card helps copayment services along with rewards points and money transfer services;2023-10-25;1000000;1;Corporate Round;Private;CL;UPayments
Enerlink;Charging Infrastructure Electric Vehicle Energy Internet of Things Software;Santiago Region Metropolitana Chile;Enerlink provides a hardwareagnostic and multipurpose Charge Management Software (CMS) for EV businesses (B2B SaaS);2023-10-28;3600000;1;Seed;Private;CL;Kayyak Ventures VX Ventures E62 Ventures Inversiones GP Marinetti Family office
Block Capital;Financial Services Software;Santiago Region Metropolitana Chile;Crypto investment platform;2023-11-01;250000;1;Seed;Private;CL;Julio Solar
Egenya;SaaS Software;Santiago Region Metropolitana Chile;Saas company focused on providing a platform for the control of recurring tasks in the cleaning and maintenance industry;2023-11-02;30000;3;Grant;Private;CL;
Candel Medical Company;Health Care Home Health Care;Santiago Region Metropolitana Chile;Science and technologybased startup that develops and manufactures CandelStim a medical device for brain rehabilitation;2023-11-07;17500;6;Grant;Private;CL;StartUp Chile Banco SantanderChile Bank of Chile
Loads;AgTech Food Delivery Supply Chain Management;Santiago Region Metropolitana Chile;Loads is the first digital supplier worldwide making food international trade more sustainable transparent and accessible;2023-11-08;2050000;2;Seed;Private;CL;Canary Nazca Ventures Alaya Capital
Legria;Real Estate;Santiago Region Metropolitana Chile;Legria is a operator of a real estate platform where coowners can split the investment and maintenance costs;2023-11-14;3400000;2;Debt Financing;Private;CL;Chile Ventures Daedalus Ventures Amarena Eduardo della Maggiora Ameris Capital
Clervice;Automotive SaaS;Las Condes Region Metropolitana Chile;SaaS for optimization the automotive supply chain;2023-11-15;10000;2;Grant;Private;CL;StartUp Chile
GoodPlayers;SaaS Software;Las Condes Region Metropolitana Chile;SaaS for corporate social and environmental impact management;2023-11-17;200000;1;PreSeed;Private;CL;Cristian Tala Sánchez
Ecooks Web Solutions;Artificial Intelligence (AI) CRM Information Technology Machine Learning;Santiago Region Metropolitana Chile;NextGen AI/MLintegrated CRM Software Solution that has changed the way businesses manage their customer relationships;2023-11-24;206000;2;Series A;Private;CL;Seedstars International Ventures
Tucar;Information Technology Logistics Public Transportation Ride Sharing;Santiago Region Metropolitana Chile;P2P rent a car for Gig workers;2023-11-30;2000000;4;Seed;Private;CL;Family & Friends
Carvuk;Automotive Insurance Professional Services;Santiago Region Metropolitana Chile;Carvuk is a car servicing platform that helps car owners manage their maintenance insurance inspections crashes washes and more;2023-11-30;200000;2;Seed;Private;CL;Platanus
ADD SKIN;Apps Beauty ECommerce Health Care Software;Santiago Region Metropolitana Chile;Superapp of beauty We are your beauty partner;2023-11-30;100000;2;Seed;Private;CL;500 Global StartUp Chile Platanus Google Launchpad Accelerator Stephanie Truan
Yourneyio;Corporate Training Human Resources Personal Development SaaS Training Wellness;Santiago Region Metropolitana Chile;Digital coaching platform that improves the lives of your employees and their ability to drive your organization to its full potential;2023-12-01;770000;2;Seed;Private;CL;Invexor Venture Partners
Mediko;Artificial Intelligence (AI) Electronic Health Record (EHR) Health Care Health Diagnostics Home Health Care Personal Health;Santiago Region Metropolitana Chile;Immediate healthcare services and guidance without a medical appointment based on AI;2023-12-01;29000;2;Grant;Private;CL;
WiWO;Marketing SaaS Software;Santiago Region Metropolitana Chile;WiWO offers an allinone SaaS marketing and sales platform with advanced automation and DFY services to optimize business growth;2023-12-10;180000;1;PreSeed;Private;CL;
Asesoria e Investigacion en Ingenieria e AI;Consulting Financial Services Generative AI Geospatial PropTech;Santiago Region Metropolitana Chile;Geoanalytic Analytics Finance;2023-12-12;10000;2;PreSeed;Private;CL;3IE Gerardo Troitiño
Levannta;Financial Services;Santiago Region Metropolitana Chile;We convert future cashflows into liquidity for companies with recurring revenue models;2023-12-23;8000000;4;Debt Financing;Private;CL;Manutara Ventures Ameris Capital
BRANDLEX;Legal Legal Tech;Santiago Region Metropolitana Chile;BrandLex specializes in the protection registration and defense of intellectual and industrial property assets;2023-12-26;25000;1;Seed;Private;CL;
Bifidice;ECommerce Food and Beverage Nutrition Retail;Las Condes Region Metropolitana Chile;Bifidice sells probiotic ice cream with bifidumbacteria;2023-12-29;850000;3;Venture  Series Unknown;Private;CL;CORFO ProVeg Incubator Sudlich Capital Thomas Otesen Gabriel Salinas
Sociedad Quimica Y Minera (SQM);Clean Energy Environmental Consulting;Santiago Region Metropolitana Chile;SQM a worldwide company based in Chile and founded in 1968;2024-09-05;850000000;3;PostIPO Debt;Public;CL;Tianqi Lithium
Cencosud;Retail Shopping;Las Condes Region Metropolitana Chile;Cencosud is a publicly traded multinational retail company;2024-05-28;650000000;1;PostIPO Debt;Delisted;CL;
ENAP;Oil and Gas;Las Condes Region Metropolitana Chile;ENAP is engaged in the exploration production refining and marketing of hydrocarbons and their derivatives;2024-07-24;600000000;1;Debt Financing;Private;CL;
CODELCO;Mining Mining Technology Precious Metals;Santiago Region Metropolitana Chile;CODELCO is a Chilean state owned copper mining company;2024-05-23;532000000;2;Debt Financing;Private;CL;Credit Agricole CIB
FORUM;Automotive Finance Financial Services;Las Condes Region Metropolitana Chile;FORUM specializes in automotive financing grants credit and leases to individuals and companies;2024-06-12;100000000;1;Debt Financing;Private;CL;
TipRanks;Analytics Finance Financial Services FinTech SEO Software;Santiago Region Metropolitana Chile;TipRanks is a financial accountability platform that ranks financial advice to assess its accuracy;2024-08-15;80000000;3;Secondary Market;Private;CL;PRYTEK Moneta VC Poalim Equity More Investment House John Nakamura
AVLA;Financial Services Insurance;Las Condes Region Metropolitana Chile;AVLA is an insurance group that provides comprehensive financial solutions for SMEs;2024-01-24;25000000;4;Venture  Series Unknown;Private;CL;responsAbility Investments KFW DEG Barclays Investment Bank Creation Investments Capital Management LLC FinDev Canada
The Wild Foods;Food and Beverage;Santiago Region Metropolitana Chile;The Wild Foods is a FoodTech company that is committed to producing clean nutritious and transparent products;2024-08-24;25000000;3;Series A;Private;CL;Amarena Glisco Partners 30N Ventures
PhageLab;Biotechnology Consulting Enterprise Software Medical Pharmaceutical;Santiago Region Metropolitana Chile;Phage Lab is a laboratory dedicated to animal welfare;2024-01-23;11000000;2;Series A;Private;CL;Collaborative Fund StartUp Chile Nazca Ventures Kevin Efrusy Water Lemon Ventures
Toku;B2C Financial Services FinTech Information Technology Software;Santiago Region Metropolitana Chile;Payments for subscription companies in Latin America;2024-04-16;9300000;4;Series A;Private;CL;Y Combinator FPrime Capital Wollef Ventures Gradient Edward Lando
Botanical Solutions;Agriculture Biotechnology Chemical Farming Manufacturing;Vitacura Region Metropolitana Chile;Botanical Solutions is a startup company that manufactures plantbased active ingredients and products from advanced botanicals;2024-08-20;7600000;5;Series A;Private;CL;The Yield Lab The Yield Lab LATAM Otter Capital The Ganesha Lab Québec
Fintoc;Banking FinTech Mobile Apps Mobile Payments;Santiago Region Metropolitana Chile;Fintoc is an API that lets online businesses accept instant payments coming directly from the customer’s bank account;2024-04-25;7000000;3;Series A;Private;CL;Y Combinator Soma Capital Plug and Play monashees Propel
AgroUrbana;Agriculture AgTech;Santiago Region Metropolitana Chile;Agrourbana is the Vertical Agriculture company;2024-05-18;6000000;4;Series B;Private;CL;Kayyak Ventures Amarena ChileGlobal Ventures Fundación Chile CLIN
Reuse;Marketplace;Santiago Region Metropolitana Chile;Reuse is an endtoend online marketplace for buying and selling refurbished electronics in LATAM;2024-04-27;4500000;2;Seed;Private;CL;IGNIA Dalus Capital AngelHub VC Silence VC Seaya Cathay Latam
SPOT;Analytics Computer Vision Facial Recognition Image Recognition Software;Santiago Region Metropolitana Chile;We provides video analytics as a service to convert videos in capitalizable data;2024-01-15;2000000;7;Seed;Private;CL;StartUp Chile Bridge Latam FEMSA Ventures Kuiper Daedalus Ventures
Movener;Electric Vehicle Environmental Consulting Pollution Control;Santiago Region Metropolitana Chile;Movener is transforming polluting trucks into ecofriendly hybrid trucks;2024-04-26;2000000;1;Venture  Series Unknown;Private;CL;SQM Lithium Ventures
ObraLink;Civil Engineering Construction Information Technology;Providencia Region Metropolitana Chile;ObraLink is a technology service that automates processes and manual tasks in the execution of construction projects;2024-07-02;1929695;4;Seed;Private;CL;Cemex Ventures Carao Ventures Echeverria Izquierdo Polpaico Solutions M10
Keirón;Health Care Information Technology Software;Santiago Region Metropolitana Chile;Keiron is a healthtech focused on digitize the patient journey with and interoperable whitelabel and omnichannel platform;2024-03-04;1700000;3;Seed;Private;CL;Taram Capital Nakama Ventures Consorcio LarrainVial Asset Management
Fracción;ECommerce Health Care Pharmaceutical;Santiago Region Metropolitana Chile;Fracción is an ecommerce platform for pharmacy products;2024-03-21;1700000;2;Undisclosed;Private;CL;Manutara Ventures
Btrust;Financial Services FinTech SaaS;Las Condes Region Metropolitana Chile;Btrust is a SaaS company that provides Supply Chain Finance solutions for corporates and their suppliers;2024-05-17;1500000;2;Seed;Private;CL;Invexor Venture Partners
Webdox;Cloud Data Services Collaboration Contact Management Enterprise Software Information Technology Natural Language Processing Procurement SaaS Software;Santiago Region Metropolitana Chile;Webdox is a SaaS CLM focused on large and medium companies in LATAM and the US;2024-09-13;1500000;8;Venture  Series Unknown;Private;CL;Wayra Kayyak Ventures Taram Capital Asenza Capital Alacrity Ventures
BY BUG;Biotechnology Farming Waste Management;La Serena Coquimbo Chile;We offer an onsite organic waste management service which uses our insectbased biotechnolgy platform to create high valueadded products;2024-07-08;1400000;1;Seed;Private;CL;Atento Capital GRID EXPONENTIAL Arpegio Sudlich Capital Halcyon Venture Partners
Retorna;Apps Financial Services Mobile Payments Transaction Processing;Las Condes Region Metropolitana Chile;Retorna is an application for online money transfers and payments;2024-06-25;1200000;1;Seed;Private;CL;Morro Ventures Amplifica Capital Impacta VC Colectivo Jaguara
Fraccional;Crowdfunding Property Management Real Estate Real Estate Investment;Santiago Region Metropolitana Chile;Fraccional is a real estate investment platform that allows to enter the real estate market for a small charge and earn money;2024-03-01;1000000;2;Seed;Private;CL;
Airnguru SA;Air Transportation Big Data Business Intelligence Information Technology Machine Learning SaaS;Santiago Region Metropolitana Chile;Bestinclass airline pricing intelligence price optimization orchestration and automation platform;2024-03-12;1000000;7;Seed;Private;CL;
FarmaLoop;ECommerce Health Care Medical Pharmaceutical;Santiago Region Metropolitana Chile;FarmaLoop is an online pharmacy which is easy to use platform and innovative prices as per customers requirement;2024-06-05;900000;1;Venture  Series Unknown;Private;CL;Amarena
diio;Analytics Artificial Intelligence (AI) Enterprise Software Sales Enablement;Puerto Varas Los Lagos Chile;Saas Conversation Intelligence;2024-03-18;750000;1;PreSeed;Private;CL;Fen Ventures Salvador Said Cristobal Pinera
Foccuz;Software;Chillan BioBio Chile;Foccuz is a company that provides software solutions for sales teams;2024-03-22;700000;1;Seed;Private;CL;Chile Ventures Kuiper Invariantes Fund CARABELA MGV Capital
Ainwater;Software;Osorno Los Lagos Chile;AIbased SaaS for water treatment plant control and optimization;2024-08-28;537000;1;PreSeed;Private;CL;Arpegio Sudlich Capital Imagine Brian Oduor Buildtech Ventures
Xpendit;FinTech SaaS;Las Condes Region Metropolitana Chile;SaaS B2B for Expense Management in Latin America;2024-01-03;450000;1;PreSeed;Private;CL;Minga Ventures
Relif;FinTech;Santiago Region Metropolitana Chile;Relif is a financial health platform for employees in LatAm;2024-07-18;400000;2;Angel;Private;CL;ChileGlobal Angels
Drovid;Software;Santiago Region Metropolitana Chile;PaaS diseñada para la protección contra incendios forestales mediante el monitoreo de bosques con inteligencia artificial;2024-07-11;350000;6;Nonequity Assistance;Private;CL;Google for Startups CORFO Agencia Nacional de Investigación y Desarrollo Cristian Rodrigo León Ibarra
HRX Talent;Analytics Human Resources Predictive Analytics SaaS;Santiago Region Metropolitana Chile;People Analytics SaaS Platform for Human Resources;2024-05-02;180000;1;Seed;Private;CL;INNZPIRA
ComexPoint;ECommerce Freight Service Insurance Last Mile Transportation Logistics Shipping Software Supply Chain Management Transportation;Viña Del Mar Valparaiso Chile;ComexPoint connects global trade players enabling importers/exporters to choose fair options and know all costs and processes in advance;2024-03-04;160000;1;PreSeed;Private;CL;
Andes Aerospace;Aerospace Embedded Software Hardware Telecommunications;Antofagasta Antofagasta Chile;COTS for satellites and telecommunication systems;2024-04-10;141879;1;Grant;Private;CL;
Credibid;Banking Financial Services Mortgage;Santiago Region Metropolitana Chile;Credibid is a platform that uses an auction method to link consumers and lenders to find acceptable mortgage loan offers;2024-04-01;130000;1;PreSeed;Private;CL;
Salesia;Information Technology Software;Santiago Region Metropolitana Chile;Salesia is an AIdriven sales training platform to improve salespersonclient interactions with simulated experiences and coaching;2024-01-01;100000;1;Angel;Private;CL;
Remote Waters;Manufacturing Solar Water Water Purification;Santiago Region Metropolitana Chile;Remote Waters provides and maintains water purification systems for remote communities with limited access to potable water;2024-01-31;90000;10;Grant;Private;CL;Marcelo Gabor StartUp Chile CORFO SQM Lithium Ventures
Reite;Computer Vision Internet of Things Retail Technology Software;Santiago Region Metropolitana Chile;Reite transforms fridges cabinets and commercial establishments into intelligent and autonomous points of sale through cameras and AI;2024-05-01;80000;2;PreSeed;Private;CL;StartUp Chile
Speaknosis;Health Care Hospital Medical;Santiago Region Metropolitana Chile;HealthCare ambience analytics for Latam;2024-05-01;80000;1;PreSeed;Private;CL;
FlameSense;Web Development;Santiago Region Metropolitana Chile;FlameSenses aim as a working group is to drive change within what is already established utilizing engineering to provide new answers;2024-07-02;50000;1;Angel;Private;CL;Samuel Lira
Queritelcom;Analytics Artificial Intelligence (AI) Crowdsourcing Freelance Market Research SaaS;Las Condes Region Metropolitana Chile;Queritel is a Latam crowdsourced instore data as a service (DAAS) provider;2024-02-08;25000;4;Grant;Private;CL;StartUp Chile VentureOut Parallel18 Greater St Louis Inc
Kalamardigital;AgTech Digital Marketing Machine Learning;Santiago Region Metropolitana Chile;Kalamar is a “ChatGPT“ that creates campaigns for Google or Meta Ads with just a few clicks simultaneously;2024-02-28;15000;1;PreSeed;Private;CL;StartUp Chile